"Timestamp","Do you plan to vote in 2019 election?","According to your opinion, in your area which party has the highest possibility of wining the next presidential election ?","Who are you planning to vote in the coming election ?","Reason for above selection ?","What is the most important factor you will consider when voting ?","What is your age range?","Male / Female","What is your religion?","What is your highest educational qualification?","What is your current employment status ?","What is your ethnicity?","Your province?","District","Who do you think has the best expertise in the area of national security? ","Who do you think has the best expertise in the area of national development? ","Which candidate has the best answer for unemployment?","Which candidate has the best answer for cost of living?","Which candidate has the best answer to religious and ethnic issues?"
"2019/10/31 9:47:48 am GMT+5:30","Not sure","Sri Lanka Podujana Peramuna (SLPP)","Anura Kumara Dissanayake (National People's Power)","They do not need to election just only participate","National security","25 - 35","Male","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Gampaha","","","","",""
"2019/11/04 2:27:48 pm GMT+5:30","Yes","National People's Party (NPP)","Mahesh Senanayake (National People's Party)","","National development","Less than 25","Female","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Southern","Galle","Mahesh Senanayake","Nandasena Gotabaya Rajapaksa","Other","","Nandasena Gotabaya Rajapaksa"
"2019/11/04 2:31:52 pm GMT+5:30","Yes","New Democratic Front (NDF)","Sajith Premadasa (New Democratic Front)","Comparatively better than the rest of them","Cost of living","Less than 25","Female","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Colombo","Mahesh Senanayake","Sajith Premadasa","Mahesh Senanayake","Sajith Premadasa","Sajith Premadasa"
"2019/11/04 2:37:12 pm GMT+5:30","No","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","I think he will be a better ruler than other presidents ","National security","Less than 25","Female","Buddhism","Degree / Higher diploma or Professional qualification","Stuent","Sinhala","Western","Colombo","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Sajith Premadasa","Sajith Premadasa","Nandasena Gotabaya Rajapaksa"
"2019/11/04 2:40:28 pm GMT+5:30","Yes","National People's Party (NPP)","Sajith Premadasa (New Democratic Front)","He works for our country ","National development","Less than 25","Male","Buddhism","A/L","Private Sector employee","Sinhala","Southern","Galle","Sajith Premadasa","Mahesh Senanayake","Sajith Premadasa","Sajith Premadasa","Mahesh Senanayake"
"2019/11/04 2:40:46 pm GMT+5:30","Not sure","New Democratic Front (NDF)","Other","Lost","National development","Less than 25","Female","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Colombo","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Other","Sajith Premadasa","Mahesh Senanayake"
"2019/11/04 2:44:10 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National security","35 - 55","Female","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Gampaha","Nandasena Gotabaya Rajapaksa","Other","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/04 2:44:36 pm GMT+5:30","No","New Democratic Front (NDF)","Sajith Premadasa (New Democratic Front)","Educational qualifications ","Cost of living","Less than 25","Female","Islam","Degree / Higher diploma or Professional qualification","Housewife","Sri Lankan Moor","Western","Colombo","Sajith Premadasa","Nandasena Gotabaya Rajapaksa","Sajith Premadasa","Sajith Premadasa","Anura Kumara Dissanayake"
"2019/11/04 2:47:34 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","He is protect our country ","National security","Less than 25","Male","Buddhism","A/L","Private Sector employee","Sinhala","Western","Colombo","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/04 2:48:12 pm GMT+5:30","Yes","New Democratic Front (NDF)","Sajith Premadasa (New Democratic Front)","We don’t want to go back to an era where people to live with fear ","Ethnic issues","35 - 55","Male","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Colombo","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa"
